
# RS Material-----------------------------------------------------------

REDSHIFT_SHADER_MATERIAL_AFFECTS_ALPHA 10120
REDSHIFT_SHADER_MATERIAL_ANISOTROPY_ORIENTATION 10085
REDSHIFT_SHADER_MATERIAL_ANISOTROPY_TANGENTCHANNEL 10087
REDSHIFT_SHADER_MATERIAL_ANISOTROPY_UVCHANNEL 10086
REDSHIFT_SHADER_MATERIAL_BLOCK_VOLUMES 10121
REDSHIFT_SHADER_MATERIAL_BUMP_INPUT 10062
REDSHIFT_SHADER_MATERIAL_COAT_BRDF 10050
REDSHIFT_SHADER_MATERIAL_COAT_BUMP_INPUT 10057
REDSHIFT_SHADER_MATERIAL_COAT_COLOR 10046
REDSHIFT_SHADER_MATERIAL_COAT_DIRECT 10077
REDSHIFT_SHADER_MATERIAL_COAT_FRESNEL_MODE 10051
REDSHIFT_SHADER_MATERIAL_COAT_INDIRECT 10078
REDSHIFT_SHADER_MATERIAL_COAT_IOR 10054
REDSHIFT_SHADER_MATERIAL_COAT_IOR3 10053
REDSHIFT_SHADER_MATERIAL_COAT_ISGLOSSINESS 10079
REDSHIFT_SHADER_MATERIAL_COAT_REFLECTIVITY 10052
REDSHIFT_SHADER_MATERIAL_COAT_ROUGHNESS 10048
REDSHIFT_SHADER_MATERIAL_COAT_SAMPLES 10049
REDSHIFT_SHADER_MATERIAL_COAT_THICKNESS 10056
REDSHIFT_SHADER_MATERIAL_COAT_TRANSMITTANCE 10055
REDSHIFT_SHADER_MATERIAL_COAT_WEIGHT 10047
REDSHIFT_SHADER_MATERIAL_COMBINED_DEPTH 10119
REDSHIFT_SHADER_MATERIAL_DECOUPLEIORFROMROUGHNESS 10081
REDSHIFT_SHADER_MATERIAL_DEPTH_OVERRIDE 10064
REDSHIFT_SHADER_MATERIAL_DIFFUSE_COLOR 10000
REDSHIFT_SHADER_MATERIAL_DIFFUSE_DIRECT 10072
REDSHIFT_SHADER_MATERIAL_DIFFUSE_INDIRECT 10073
REDSHIFT_SHADER_MATERIAL_DIFFUSE_ROUGHNESS 10002
REDSHIFT_SHADER_MATERIAL_DIFFUSE_WEIGHT 10001
REDSHIFT_SHADER_MATERIAL_EMISSION_COLOR 10060
REDSHIFT_SHADER_MATERIAL_EMISSION_WEIGHT 10061
REDSHIFT_SHADER_MATERIAL_ENERGYCOMPMODE 10082
REDSHIFT_SHADER_MATERIAL_MS_AMOUNT 10035
REDSHIFT_SHADER_MATERIAL_MS_COLOR0 10037
REDSHIFT_SHADER_MATERIAL_MS_COLOR1 10040
REDSHIFT_SHADER_MATERIAL_MS_COLOR2 10043
REDSHIFT_SHADER_MATERIAL_MS_INCLUDE_MODE 10153
REDSHIFT_SHADER_MATERIAL_MS_MODE 10151
REDSHIFT_SHADER_MATERIAL_MS_RADIUS0 10039
REDSHIFT_SHADER_MATERIAL_MS_RADIUS1 10042
REDSHIFT_SHADER_MATERIAL_MS_RADIUS2 10045
REDSHIFT_SHADER_MATERIAL_MS_RADIUS_SCALE 10036
REDSHIFT_SHADER_MATERIAL_MS_SAMPLES 10152
REDSHIFT_SHADER_MATERIAL_MS_WEIGHT0 10038
REDSHIFT_SHADER_MATERIAL_MS_WEIGHT1 10041
REDSHIFT_SHADER_MATERIAL_MS_WEIGHT2 10044
REDSHIFT_SHADER_MATERIAL_OPACITY_COLOR 10059
REDSHIFT_SHADER_MATERIAL_OVERALLAFFECTSEMISSION 10083
REDSHIFT_SHADER_MATERIAL_OVERALL_COLOR 10058
REDSHIFT_SHADER_MATERIAL_PRESET 10112
REDSHIFT_SHADER_MATERIAL_REFL_ANISO 10010
REDSHIFT_SHADER_MATERIAL_REFL_ANISO_ROTATION 10011
REDSHIFT_SHADER_MATERIAL_REFL_BRDF 10009
REDSHIFT_SHADER_MATERIAL_REFL_COLOR 10005
REDSHIFT_SHADER_MATERIAL_REFL_CUTOFF 10067
REDSHIFT_SHADER_MATERIAL_REFL_DEPTH 10065
REDSHIFT_SHADER_MATERIAL_REFL_DIRECT 10074
REDSHIFT_SHADER_MATERIAL_REFL_EDGE_TINT 10014
REDSHIFT_SHADER_MATERIAL_REFL_ENABLECUTOFF 10066
REDSHIFT_SHADER_MATERIAL_REFL_ENDMODE 10155
REDSHIFT_SHADER_MATERIAL_REFL_FRESNEL_MODE 10012
REDSHIFT_SHADER_MATERIAL_REFL_INDIRECT 10075
REDSHIFT_SHADER_MATERIAL_REFL_IOR 10018
REDSHIFT_SHADER_MATERIAL_REFL_IOR3 10015
REDSHIFT_SHADER_MATERIAL_REFL_ISGLOSSINESS 10076
REDSHIFT_SHADER_MATERIAL_REFL_K3 10016
REDSHIFT_SHADER_MATERIAL_REFL_METALNESS 10017
REDSHIFT_SHADER_MATERIAL_REFL_REFLECTIVITY 10013
REDSHIFT_SHADER_MATERIAL_REFL_ROUGHNESS 10007
REDSHIFT_SHADER_MATERIAL_REFL_SAMPLES 10008
REDSHIFT_SHADER_MATERIAL_REFL_WEIGHT 10006
REDSHIFT_SHADER_MATERIAL_REFR_ABBE 10025
REDSHIFT_SHADER_MATERIAL_REFR_ABSORPTION_SCALE 10114
REDSHIFT_SHADER_MATERIAL_REFR_COLOR 10019
REDSHIFT_SHADER_MATERIAL_REFR_CUTOFF 10071
REDSHIFT_SHADER_MATERIAL_REFR_DEPTH 10069
REDSHIFT_SHADER_MATERIAL_REFR_ENABLECUTOFF 10070
REDSHIFT_SHADER_MATERIAL_REFR_IOR 10023
REDSHIFT_SHADER_MATERIAL_REFR_ISGLOSSINESS 10080
REDSHIFT_SHADER_MATERIAL_REFR_ROUGHNESS 10021
REDSHIFT_SHADER_MATERIAL_REFR_SAMPLES 10022
REDSHIFT_SHADER_MATERIAL_REFR_THIN_WALLED 10026
REDSHIFT_SHADER_MATERIAL_REFR_TRANSMITTANCE 10027
